央视频道,#genre#
CCTV1,http://php.cqshushu.ggff.net/jzb.php?id=cctv1&公众号【医工学习日志】
CCTV2,http://php.cqshushu.ggff.net/jzb.php?id=cctv2&公众号【医工学习日志】
CCTV3,http://php.cqshushu.ggff.net/jzb.php?id=cctv3&公众号【医工学习日志】
CCTV4,http://php.cqshushu.ggff.net/jzb.php?id=cctv4&公众号【医工学习日志】
CCTV4,http://php.cqshushu.ggff.net/jzb.php?id=cctv5&公众号【医工学习日志】
CCTV6,http://php.cqshushu.ggff.net/jzb.php?id=cctv6&公众号【医工学习日志】
CCTV7,http://php.cqshushu.ggff.net/jzb.php?id=cctv7&公众号【医工学习日志】
CCTV8,http://php.cqshushu.ggff.net/jzb.php?id=cctv8&公众号【医工学习日志】
CCTV9,http://php.cqshushu.ggff.net/jzb.php?id=cctv9&公众号【医工学习日志】
CCTV10,http://php.cqshushu.ggff.net/jzb.php?id=cctv10&公众号【医工学习日志】
CCTV11,http://php.cqshushu.ggff.net/jzb.php?id=cctv11&公众号【医工学习日志】
CCTV11,http://php.cqshushu.ggff.net/jzb.php?id=cctv12&公众号【医工学习日志】
CCTV11,http://php.cqshushu.ggff.net/jzb.php?id=cctv13&公众号【医工学习日志】
CCTV14,http://php.cqshushu.ggff.net/jzb.php?id=cctv14&公众号【医工学习日志】
CCTV14,http://php.cqshushu.ggff.net/jzb.php?id=cctv15&公众号【医工学习日志】
CCTV14,http://php.cqshushu.ggff.net/jzb.php?id=cctv16&公众号【医工学习日志】
CCTV14,http://php.cqshushu.ggff.net/jzb.php?id=cctv17&公众号【医工学习日志】

电影频道,#genre#
周星驰电影,http://iptv.jxpan.vip:18888/aio/huya/11342412
林正英电影,http://iptv.jxpan.vip:18888/aio/huya/11342421
刘德华电影,http://iptv.jxpan.vip:18888/aio/huya/11342424
古天乐电影,http://iptv.jxpan.vip:18888/aio/huya/29982675
成龙电影,http://iptv.jxpan.vip:18888/aio/huya/11342386
李连杰电影,http://iptv.jxpan.vip:18888/aio/huya/11342390
甄子丹电影,http://iptv.jxpan.vip:18888/aio/huya/11352935
沈腾电影,http://iptv.jxpan.vip:18888/aio/huya/11601968
黄渤电影,http://iptv.jxpan.vip:18888/aio/huya/11352876
强森电影,http://iptv.jxpan.vip:18888/aio/huya/21059581
王晶电影,http://iptv.jxpan.vip:18888/aio/huya/11602058
金庸武侠,http://iptv.jxpan.vip:18888/aio/huya/11342435
功夫电影,http://iptv.jxpan.vip:18888/aio/huya/11352941
贺岁电影,http://iptv.jxpan.vip:18888/aio/huya/11601986
怪兽电影,http://iptv.jxpan.vip:18888/aio/huya/21059577
武侠电影,http://cfss.cc/cdn/hy/11342427.m3u8
玄幻电影,http://iptv.jxpan.vip:18888/aio/huya/11342414
罪犯电影,http://iptv.jxpan.vip:18888/aio/huya/11352962
战争电影,http://iptv.jxpan.vip:18888/aio/huya/21059574
谍战电影,http://iptv.jxpan.vip:18888/aio/huya/21059585
枪战电影,http://iptv.jxpan.vip:18888/aio/huya/21059579
狄仁杰电影,http://iptv.jxpan.vip:18888/aio/huya/30080229
末日电影合集,http://luobo.bkpcp.top/yy/1354889019
宇宙科幻合集,http://iptv.jxpan.vip:18888/aio/huya/11342428
欧美大片,http://iptv.jxpan.vip:18888/aio/douyu/2793084
邵氏影院,http://iptv.jxpan.vip:18888/aio/douyu/4246519
冰冰影剧,http://iptv.jxpan.vip:18888/aio/douyu/74374
斗鱼港剧,http://iptv.jxpan.vip:18888/aio/douyu/5061550
周杰伦MV,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p

电视剧频道,#genre#
延禧攻略,http://iptv.jxpan.vip:18888/aio/huya/26355864
琅琊榜,#http://zby.xjqxz.top/lyb/live.m3u8
新三国,http://iptv.jxpan.vip:18888/aio/huya/11352944
新水浒传,http://iptv.jxpan.vip:18888/aio/huya/11342384
新三国（斗鱼）,http://iptv.jxpan.vip:18888/aio/douyu/5908256
少年包青天第一部,http://luobo.bkpcp.top/yy/1356043677
少年包青天第三部,http://luobo.bkpcp.top/yy/1382736814
神探狄仁杰第一部,http://iptv.jxpan.vip:18888/aio/huya/11352958
神探狄仁杰第二部,#http://iptv.jxpan.vip:18888/aio/douyu/431460
神探狄仁杰第三部,http://iptv.jxpan.vip:18888/aio/huya/11342425
爱情公寓,http://iptv.jxpan.vip:18888/aio/huya/11336726
亮剑,http://iptv.jxpan.vip:18888/aio/huya/30080238
雪豹,http://iptv.jxpan.vip:18888/aio/huya/29580970
特种兵之火凤凰,http://iptv.jxpan.vip:18888/aio/huya/29982636
士兵突击,http://iptv.jxpan.vip:18888/aio/huya/11342430
笑傲江湖,http://iptv.jxpan.vip:18888/aio/huya/26355790
神雕侠侣,http://iptv.jxpan.vip:18888/aio/huya/11352964
天龙八部,http://iptv.jxpan.vip:18888/aio/huya/20985816
倚天屠龙记,http://iptv.jxpan.vip:18888/aio/huya/11342403
铁齿铜牙纪晓岚,http://iptv.jxpan.vip:18888/aio/huya/11342396
康熙王朝,http://iptv.jxpan.vip:18888/aio/huya/11352940
陈情令,http://iptv.jxpan.vip:18888/aio/huya/29465862
庆余年,http://iptv.jxpan.vip:18888/aio/huya/11352960
鬼吹灯之精绝古城,http://iptv.jxpan.vip:18888/aio/huya/11352871
鬼吹灯之怒晴湘西,http://iptv.jxpan.vip:18888/aio/huya/11602075
鬼吹灯之龙岭迷窟,http://iptv.jxpan.vip:18888/aio/huya/29465863
鬼吹灯之云南虫谷,http://iptv.jxpan.vip:18888/aio/huya/11352898
伪装者,http://luobo.bkpcp.top/yy/1354936244
西游记后传,http://luobo.bkpcp.top/yy/1353392400
隋唐英雄传,http://luobo.bkpcp.top/yy/1352475619
仙剑奇侠传,http://luobo.bkpcp.top/yy/1382749903
西游记续集,http://iptv.jxpan.vip:18888/aio/douyu/3113309
我是特种兵之利刃出鞘,http://luobo.bkpcp.top/yy/37999586
狂飙,http://luobo.bkpcp.top/yy/1355142167
 三国演义,http://iptv.jxpan.vip:18888/aio/huya/11602081
西游记,http://iptv.jxpan.vip:18888/aio/huya/26355861
 新白娘子传奇,http://luobo.bkpcp.top/yy/1354490667
乌龙闯情关,http://iptv.jxpan.vip:18888/aio/huya/26355767
柳舟计,http://iptv.jxpan.vip:18888/aio/huya/23860039
与凤行,http://iptv.jxpan.vip:18888/aio/huya/26355866
大秦赋,http://iptv.jxpan.vip:18888/aio/huya/23903130
永夜星河,http://iptv.jxpan.vip:18888/aio/huya/23734169
流水迢迢,http://iptv.jxpan.vip:18888/aio/huya/23865036
唐诡之西行,http://iptv.jxpan.vip:18888/aio/huya/26355763
玫瑰的故事,http://iptv.jxpan.vip:18888/aio/huya/23865142
梦中的那片海,http://iptv.jxpan.vip:18888/aio/huya/26355765
知否知否,http://luobo.bkpcp.top/yy/21881901
父母爱情,http://luobo.bkpcp.top/yy/1354926650
欢乐颂,http://luobo.bkpcp.top/yy/1382735624
康熙微服私访记,http://iptv.jxpan.vip:18888/aio/huya/11342418
如懿传,http://iptv.jxpan.vip:18888/aio/huya/29465868
芈月传,http://iptv.jxpan.vip:18888/aio/huya/11352975

APTV专享,#genre#
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8

点播电影,#genre#
倩女幽魂妖魔道,http://jsmov2.a.yximgs.com/bs3/video-hls/5232901391302199073_hlsb.m3u8
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
倩女幽魂道道道,http://jsmov2.a.yximgs.com/bs3/video-hls/5216294367991385255_hlsb.m3u8
人在囧途,https://vip.ffzy-play.com/20221018/1953_2d6ba500/index.m3u8
人在囧途之泰囧,https://vip.ffzy-play.com/20221018/1951_47e1adc8/index.m3u8
人在囧途之港囧,https://vip.ffzy-play7.com/20230112/11082_fde1a94d/index.m3u8
